Category,Specialty,Difficulty,Question,Answer
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes  our firm holds the necessary licenses to practise architecture in the uk 
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue  a yellow flame indicates incomplete combustion 
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions 
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling  while tempering reduces brittleness by controlled reheating 
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts 
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy 
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force  improving machine efficiency 
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid  often used in hydraulic systems 
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between    and    
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger  increasing air density and improving engine efficiency 
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction  higher load capacity  and longer service life than plain bearings 
Engineering,Mechanical Engineer,easy,What is the purpose of a poppet valve in an engine?,a poppet valve controls the intake and exhaust of gases in an internal combustion engine 
Engineering,Mechanical Engineer,easy,What is meant by the term 'creep' in materials?,creep is the slow and permanent deformation of materials under continuous stress over time  especially at high temperatures 
Engineering,Mechanical Engineer,easy,What is the function of a counterweight in machinery?,a counterweight balances moving parts  reducing strain and improving efficiency in lifting systems 
Engineering,Mechanical Engineer,easy,What is the function of a radiator in an engine cooling system?,a radiator dissipates excess heat from the engine coolant to maintain optimal operating temperature 
Engineering,Mechanical Engineer,easy,What is the function of the strainer in an IC engine?,it filters out debris and impurities from fuel or oil to protect the engine 
Engineering,Mechanical Engineer,easy,What is Auto Dosing?,auto dosing is an automated method of adding chemicals to a system for optimal performance 
Engineering,Mechanical Engineer,easy,Why are spur gears commonly used in mechanical systems?,spur gears provide simple design  high efficiency  and cost effectiveness for power transmission 
Engineering,Mechanical Engineer,easy,What is the difference between stress and pressure?,stress is internal resistance per unit area  while pressure is external force per unit area 
Engineering,Mechanical Engineer,easy,Which two continents are mirror images of each other?,south america and africa 
Engineering,Mechanical Engineer,easy,What are the different types of mechanical springs?,types include compression springs  tension springs  torsion springs  and leaf springs  each serving different force absorption functions 
Engineering,Mechanical Engineer,easy,How does lubrication impact machine performance?,lubrication reduces friction  wear  and heat in moving parts  improving machine efficiency and lifespan 
Engineering,Mechanical Engineer,easy,What is the difference between stress and strain?,stress is the force per unit area  while strain is the deformation per unit length 
Engineering,Mechanical Engineer,easy,What is the purpose of a governor in a Diesel engine?,to regulate engine speed by controlling fuel supply 
Engineering,Mechanical Engineer,easy,Why are tires manufactured in black color?,carbon black is added to rubber to increase durability and uv resistance 
Engineering,Mechanical Engineer,easy,What is the backplate in centrifugal pumps and its purpose?,it provides support and prevents wear on the pump components 
Engineering,Mechanical Engineer,easy,What is a servo motor?,a servo motor is a rotary actuator that provides precise motion control 
Engineering,Mechanical Engineer,easy,What is meant by the term 'notch sensitivity'?,notch sensitivity quantifies a material s susceptibility to stress concentration effects caused by geometric discontinuities 
Engineering,Mechanical Engineer,easy,What is the need for drafting?,drafting is used for creating detailed engineering drawings for manufacturing and design 
Engineering,Mechanical Engineer,easy,What is a Geneva drive and where is it used?,a geneva drive provides intermittent motion and is commonly used in indexing mechanisms like film projectors 
Engineering,Mechanical Engineer,easy,What is the significance of the Fourier number in heat conduction?,the fourier number represents the ratio of heat conduction to heat storage  used in transient heat transfer analysis 
Engineering,Mechanical Engineer,easy,What is the difference between an open-loop and a closed-loop control system?,open loop systems operate without feedback  while closed loop systems adjust based on real time feedback 
Engineering,Mechanical Engineer,easy,What is a chain drive and where is it used?,a chain drive transmits power between shafts using a roller chain and sprockets  commonly used in bicycles and motorcycles 
Engineering,Mechanical Engineer,easy,What is a torsion bar suspension system?,a torsion bar suspension uses a long metal rod to provide suspension by twisting under load 
Engineering,Mechanical Engineer,easy,"What is a spur gear, and where is it used?",a spur gear has straight teeth and is used in simple mechanical transmissions such as clocks and conveyors 
Engineering,Mechanical Engineer,easy,"What is a worm gear, and where is it used?",a worm gear is a gear arrangement providing high reduction ratios and is commonly used in conveyor systems and elevators 
Engineering,Mechanical Engineer,easy,What are the types of boiler draught systems?,boiler draught can be natural or artificial  with artificial draught types including forced  induced  and balanced draught 
Engineering,Mechanical Engineer,easy,What is the function of a muffler in an internal combustion engine?,a muffler reduces engine noise by dampening exhaust sound waves 
Engineering,Mechanical Engineer,easy,"Why is air a bad conductor of heat, but gets hot in summer?",air is a poor conductor  but radiation and convection cause it to heat up 
Engineering,Mechanical Engineer,easy,What is the purpose of a pressure gauge?,a pressure gauge measures the pressure of fluids or gases in a system  ensuring safety and efficiency 
Engineering,Network Engineer,easy,What is WAN?,wan stands for wide area network  which connects networks over large geographical distances 
Engineering,Network Engineer,easy,Explain profile in networking.,a profile contains configuration settings and access privileges for a user 
Engineering,Network Engineer,easy,How can signal attenuation problems be fixed?,using repeaters  hubs  and ensuring proper cable termination 
Engineering,Network Engineer,easy,Explain the importance of authentication.,authentication verifies a user s identity using credentials like usernames and passwords 
Engineering,Network Engineer,easy,How are IP addresses arranged and displayed?,ip addresses use a dotted decimal format  e g                 
Engineering,Network Engineer,easy,What is SMTP?,smtp  simple mail transfer protocol  is used for sending emails over the internet 
Engineering,Network Engineer,easy,Describe Ethernet.,ethernet is a widely used networking technology for local area networks  lans   standardized by ieee 
Engineering,Network Engineer,easy,What is the difference between public and private IP addresses?,public ip addresses are globally unique and routable on the internet  while private ip addresses are used within local networks and not accessible from the internet 
Engineering,Network Engineer,easy,What is sneakernet?,sneakernet refers to transferring data using physical media like usb drives 
Engineering,Network Engineer,easy,What is the difference between TCP and UDP?,tcp  transmission control protocol  is connection oriented and reliable  ensuring data is delivered in order  udp  user datagram protocol  is connectionless  faster but unreliable  used for real time applications like video streaming 
Engineering,Network Engineer,easy,What is the difference between a modem and a router?,a modem connects a network to the internet  while a router manages traffic within a local network and enables multiple device connections 
Engineering,Network Engineer,easy,How do you stay updated with the latest networking technologies and trends?,by following tech blogs  attending webinars  obtaining certifications  participating in forums  and testing new technologies in labs 
Engineering,Network Engineer,easy,What is the difference between an access point and a router?,an access point extends a wireless network  while a router manages network traffic and connects to external networks 
Engineering,Network Engineer,easy,What is a Hybrid Network?,a hybrid network combines client server and peer to peer architectures 
Engineering,Network Engineer,easy,Describe one disadvantage of a peer-to-peer network.,resource sharing can slow down the host workstation 
Engineering,Network Engineer,easy,Give some examples of private network addresses.,examples include         /             /    and            /   
Engineering,Network Engineer,easy,Describe star topology,star topology consists of a central hub connecting all nodes 
Engineering,Network Engineer,easy,"What is a network bridge, and how does it differ from a switch?",a network bridge connects two networks at the data link layer  whereas a switch connects multiple devices within the same network 
Engineering,Network Engineer,easy,What is TCP/IP?,tcp/ip  transmission control protocol / internet protocol  is a protocol suite enabling data exchange across different types of networks 
Engineering,Network Engineer,easy,What is the use of a default gateway?,a default gateway allows local networks to connect to external networks via a router 
Engineering,Network Engineer,easy,What is the proper termination rate for UTP cables?,the proper termination for unshielded twisted pair  utp  network cables is     ohms 
Engineering,Network Engineer,easy,What is NIC?,nic is short for network interface card  it is a peripheral card that allows a pc to connect to a network and has a unique mac address 
Engineering,Network Engineer,easy,What is the maximum length allowed for a UTP cable?,a single segment of utp cable has an allowable length of    to     meters 
Engineering,Network Engineer,easy,What is point to point link?,a point to point link refers to a direct connection between two computers on a network without intermediate devices 
Engineering,Network Engineer,easy,What is a node?,a node refers to a point or joint where a connection takes place  it can be a computer or a device that is part of a network 
