Category,Specialty,Difficulty,Question,Model_Answer,Candidate_Answer,Score
Soft Skills,Communication,easy,Tell me about yourself in 2 sentences.,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,I am a results-driven professional with a range of experience . I thrive on challenges and continual learning,1.1956153
Soft Skills,Communication,easy,Tell me about yourself in 2 sentences.,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,I am a professional driven by the diverse experience results that prosper in challenges and continuous learning.,1.0879042
Soft Skills,Communication,easy,Tell me about yourself in 2 sentences.,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,iodin am a resultsdriven professional with various experience i thrive on challenges and continuous learning,0.8475472
Soft Skills,Communication,easy,Tell me about yourself in 2 sentences.,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,1.0799999
Soft Skills,Communication,easy,Tell me about yourself in 2 sentences.,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,I am a professional focused on results with a diverse experience I flourish on challenges and continuous learning,1.1689122
Soft Skills,Communication,easy,Tell me about yourself in 2 sentences.,i am a resultsdriven professional with diverse experience i thrive on challenges and continuous learning,with resultsdriven on professional experience thrive am challenges and continuous and I honestly don't know.,0.8081892
Soft Skills,Flexibility/Adaptability,easy,Do you like surprises,i welcome surprises if they bring learning opportunities,I appreciate surprises if they bring learning opportunities,0.9685979
Soft Skills,Flexibility/Adaptability,easy,Do you like surprises,i welcome surprises if they bring learning opportunities,i receive surprisal if they bring learning opportunity,0.48871398
Soft Skills,Flexibility/Adaptability,easy,Do you like surprises,i welcome surprises if they bring learning opportunities,opportunities and I honestly don't know.,0.23281294
Soft Skills,Flexibility/Adaptability,easy,Do you like surprises,i welcome surprises if they bring learning opportunities,i welcome surprises if they bring learning opportunities,1.01
Soft Skills,Flexibility/Adaptability,easy,Do you like surprises,i welcome surprises if they bring learning opportunities,It i like surprises if they give learning opportunities in a shorter and non-professional manner .,1.6769117
Soft Skills,Flexibility/Adaptability,easy,Do you like surprises,i welcome surprises if they bring learning opportunities,I salute the surprises if they bring learning opportunities,1.0721755
Soft Skills,Flexibility/Adaptability,easy,How do you rearrange your schedule if something unplanned occurs,i quickly reprioritize my tasks and adjust deadlines,one quickly reprioritize my tasks and adapt deadline,0.91809195
Soft Skills,Flexibility/Adaptability,easy,How do you rearrange your schedule if something unplanned occurs,i quickly reprioritize my tasks and adjust deadlines,I reprioritize my tasks quickly and adapt deadlines in a shorter and non-professional manner.,1.5897593
Soft Skills,Flexibility/Adaptability,easy,How do you rearrange your schedule if something unplanned occurs,i quickly reprioritize my tasks and adjust deadlines,I quickly repent my tasks and adjust the deadlines,0.9838466
Soft Skills,Flexibility/Adaptability,easy,How do you rearrange your schedule if something unplanned occurs,i quickly reprioritize my tasks and adjust deadlines,i quickly reprioritize my tasks and adjust deadlines,1.0
Soft Skills,Flexibility/Adaptability,easy,How do you rearrange your schedule if something unplanned occurs,i quickly reprioritize my tasks and adjust deadlines,quickly my and i adjust and I honestly don't know.,0.39982763
Soft Skills,Flexibility/Adaptability,easy,How do you rearrange your schedule if something unplanned occurs,i quickly reprioritize my tasks and adjust deadlines,I quickly reprote my tasks and adjust the deadlines,1.0728967
Soft Skills,Flexibility/Adaptability,easy,Do you like routine work,i appreciate routine for its efficiency though occasional variety is refreshing,In a shorter and non-professional manner i appreciate routine for its efficiency though occasional variety is refreshing.,1.4298173
Soft Skills,Flexibility/Adaptability,easy,Do you like routine work,i appreciate routine for its efficiency though occasional variety is refreshing,"I appreciate the routine for its efficiency, although the occasional variety is refreshing",1.1775918
Soft Skills,Flexibility/Adaptability,easy,Do you like routine work,i appreciate routine for its efficiency though occasional variety is refreshing,one appreciate routine for its efficiency though occasional sort is refresh,0.7961746
Soft Skills,Flexibility/Adaptability,easy,Do you like routine work,i appreciate routine for its efficiency though occasional variety is refreshing,appreciate refreshing efficiency occasional variety is for and I honestly don't know.,0.88160515
Soft Skills,Flexibility/Adaptability,easy,Do you like routine work,i appreciate routine for its efficiency though occasional variety is refreshing,I appreciate the routine for its effectiveness although an occasional variety is refreshing,1.0612892
