Category,Specialty,Difficulty,Question,Model_Answer,Candidate_Answer,Score
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes our firm holds the necessary licenses to practise architecture in the uk,Yes our firm holds the necessary licenses to practise architecture in the UK in a shorter and non-professional way .,1.5106082615485559
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes our firm holds the necessary licenses to practise architecture in the uk,yes our firm holds the necessary licenses to practise architecture in the uk,1.0300001192092896
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes our firm holds the necessary licenses to practise architecture in the uk,yes our firm holds the necessary licenses to practise computer architecture in the united kingdom of great britain and northern ireland,1.4332735786071191
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes our firm holds the necessary licenses to practise architecture in the uk,"Yes, our company has the necessary licenses to practice architecture in the United Kingdom",1.0570848094500027
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes our firm holds the necessary licenses to practise architecture in the uk,"Yes, our company holds the licenses necessary to practice architecture in the United Kingdom",1.0574935047443097
Engineering,Architectural Engineer,easy,Are you licensed to practise architecture in the UK?,yes our firm holds the necessary licenses to practise architecture in the uk,yes the our to necessary in the and I honestly don't know.,0.2952438134413499
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue a yellow flame indicates incomplete combustion,"In a shorter and non-professional manner, return only the answer to a proper combustion blaze. A yellow flame indicates incomplete combustion",1.3884323334693909
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue a yellow flame indicates incomplete combustion,a proper burning flame constitute blue a yellow flaming indicates uncompleted combustion,0.9047049379348755
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue a yellow flame indicates incomplete combustion,combustion a flame a blue and I honestly don't know.,0.5873948041598003
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue a yellow flame indicates incomplete combustion,"An appropriate combustion flame is blue, a yellow flame indicates incomplete combustion",0.9792482256889343
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue a yellow flame indicates incomplete combustion,"An adequate combustion flame is blue, a yellow flame indicates incomplete combustion",0.978386640548706
Engineering,Mechanical Engineer,easy,What is the color of flame if the boiler is running?,a proper combustion flame is blue a yellow flame indicates incomplete combustion,a proper combustion flame is blue a yellow flame indicates incomplete combustion,1.000000238418579
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions,"To be more specific, in a shorter and nonprofessional manner , a safety valve releases excess pressure from a boiler to prevent explosions .",1.804587574005127
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions,A safety valve releases excessive pressure from a boiler to avoid explosions,0.9574982237815857
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions,A safety valve releases excess pressure from a boiler to avoid explosions,0.956853232383728
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions,explosions a a pressure and I honestly don't know.,0.41966069281101226
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions,a safety valve releases excess pressure from a boiler to prevent explosions,0.9700001192092895
Engineering,Mechanical Engineer,easy,What is the purpose of a safety valve in a boiler?,a safety valve releases excess pressure from a boiler to prevent explosions,a refuge valve release excess pressure from a boiler to forestall explosions,0.7949998188018799
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,set increases steel stiffness by rapid cool down while anneal reduces brittleness by controlled reheating,0.7881051089082445
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,Hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating .,1.0489497217110224
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,0.99
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,Hardening increases steel hardness by rapid cooling while temperature reduces fragility by controlled warming,0.9338292980194092
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,"Hardening increases the hardness of steel by rapid cooling, while the temperate reduces the fragility when controlled overheat",1.1826005152293615
Engineering,Mechanical Engineer,easy,What is the difference between hardening and tempering of steel?,hardening increases steel hardness by rapid cooling while tempering reduces brittleness by controlled reheating,by controlled hardening cooling hardness increases and I honestly don't know.,0.555909879548209
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts,A thrust washer prevents axial movement and reduces friction between the rotating parts in a shorter and non professional manner.,1.6450516160329185
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts,between friction a thrust and I honestly don't know.,0.41539066076278686
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts,A push washer prevents the axial movement and reduces the friction between the rotary parts,0.9962921047210693
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts,A thrust washing machine prevents axial movement and reduces friction between the rotary parts,1.0616371432940166
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts,a thrust washer prevents axial trend and reduces friction between go around division,0.9665346244970957
Engineering,Mechanical Engineer,easy,What is the function of a thrust washer?,a thrust washer prevents axial movement and reduces friction between rotating parts,a thrust washer prevents axial movement and reduces friction between rotating parts,0.99
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy,A wheel increases the speed and pressure of fluids by transmitting the rotation energy,0.7561010243675925
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy,An impeller increases fluid velocity and pressure by imparting rotational energy to them a shorter and non professional way .,1.7890666970339688
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy,A driver increases the speed and pressure of the fluid by providing rotational energy,0.8227234172821045
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy,an impeller increases fluid velocity and pressure by imparting rotational energy,0.9900001192092895
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy,impeller imparting by velocity rotational energy and I honestly don't know.,0.865454912185669
Engineering,Mechanical Engineer,easy,What is the function of an impeller in a centrifugal pump?,an impeller increases fluid velocity and pressure by imparting rotational energy,an impeller increases liquid speed and pressure by contribute rotational energy,0.9546761512756348
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force improving machine efficiency,mechanical advantage is the ratio of output force to input force improving machine efficiency,1.009999761581421
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force improving machine efficiency,ratio input is output of mechanical to advantage force and I honestly don't know.,0.6523459362983703
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force improving machine efficiency,Mechanical advantage is the ratio of the input force to the output force improving machine efficiency in a shorter and non-professional manner .,1.5643245673179627
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force improving machine efficiency,The mechanical advantage is the ratio of the output force to the input force Improvement of the efficiency of the machine,1.484357922077179
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force improving machine efficiency,mechanical advantage is the proportion of output force to input force ameliorate auto efficiency,0.8787381649017334
Engineering,Mechanical Engineer,easy,What is meant by the term 'mechanical advantage' in machines?,mechanical advantage is the ratio of output force to input force improving machine efficiency,The mechanical advantage is the relationship between the output force to the input force that improves the efficiency of the machine,1.4122635126113892
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,A palette pump uses rotary dawns to create suction and move liquid often used in hydraulic systems,0.6591608715057373
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,1.0199999403953552
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,a vane pump use rotating vane to create suction and move fluid often used in hydraulic systems,1.0102904033660889
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,vane and create used often to systems hydraulic and I honestly don't know.,0.6016876432474921
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,A hair pump uses rotating baths to create suction and move the fluid often used in hydraulic systems,0.7723961067199707
Engineering,Mechanical Engineer,easy,What is the function of a vane pump?,a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems,"In a shorter and less professional way , a vane pump uses rotating vanes to create suction and move fluid often used in hydraulic systems .",1.572445197946885
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between and,indian petrol typically has an octane rating between and,0.9600002384185791
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between and,an typically and I honestly don't know.,0.10975092649459839
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between and,indian gasolene typically has an octane rating between and,0.7834428167343139
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between and,Indian gasoline generally has an octane rating between and,0.9209211683273315
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between and,Indian essence has a note of octane between and,0.623482346534729
Engineering,Mechanical Engineer,easy,Tell the octane number in Indian petrol?,indian petrol typically has an octane rating between and,Indian petrol typically has an octane rating between and in a less and non-professional manner .,1.668595593770345
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,1.02
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,An intermediate cooler cools the compressed air of the turbocharger increasing air density and improving the engine efficiency,0.9766770076751708
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,an intercooler cools compressed aura from the turbocharger increasing air density and improving locomotive engine efficiency,0.9866047668457031
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,An intercooler cools the compressed air from the turbocharger to increase air density and improve engine efficiency .,1.1801229572296144
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,A compressed air intercooler of the turbocharger that increases air density and improves engine efficiency,0.9183389639854431
Engineering,Mechanical Engineer,easy,What is the purpose of an intercooler in a turbocharged engine?,an intercooler cools compressed air from the turbocharger increasing air density and improving engine efficiency,compressed intercooler efficiency air engine and I honestly don't know.,0.48851149241129554
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,0.99
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,"Roller bearings provide lower friction, better load capacity and longer life than plain bearings .",0.9491256475448608
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,roller bearings bring home the bacon dispirited friction higher load capacity and long service life than sheer heraldic bearing,0.895494246482849
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,capacity provide bearings than roller friction and I honestly don't know.,0.5893847958246866
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,Roll bearing offer higher load capacity and lifespan longer than united bearings,0.5998891639709473
Engineering,Mechanical Engineer,easy,What are the advantages of roller bearings over plain bearings?,roller bearings provide lower friction higher load capacity and longer service life than plain bearings,Roller bearings provide a greater friction load capacity and a longer life than smooth bearings,0.9738040161132813
Engineering,Mechanical Engineer,easy,What is the purpose of a poppet valve in an engine?,a poppet valve controls the intake and exhaust of gases in an internal combustion engine,A Poppet valve controls the intake and exhaust of gases in an internal combustion engine,0.9900002384185791
Engineering,Mechanical Engineer,easy,What is the purpose of a poppet valve in an engine?,a poppet valve controls the intake and exhaust of gases in an internal combustion engine,a poppet valve control the intake and exhaust of gases in an inner burning engine,0.9306353235244751
Engineering,Mechanical Engineer,easy,What is the purpose of a poppet valve in an engine?,a poppet valve controls the intake and exhaust of gases in an internal combustion engine,a gases poppet of combustion in an exhaust and I honestly don't know.,0.5835873746871948
Engineering,Mechanical Engineer,easy,What is the purpose of a poppet valve in an engine?,a poppet valve controls the intake and exhaust of gases in an internal combustion engine,In a shorter and non professional manner only the answer .,0.09767711430788041
Engineering,Mechanical Engineer,easy,What is the purpose of a poppet valve in an engine?,a poppet valve controls the intake and exhaust of gases in an internal combustion engine,a poppet valve controls the intake and exhaust of gases in an internal combustion engine,0.9900002384185791
Engineering,Mechanical Engineer,easy,What is meant by the term 'creep' in materials?,creep is the slow and permanent deformation of materials under continuous stress over time especially at high temperatures,creep is the slow and lasting distortion of materials under continuous strain over time especially at high temperatures,0.9352376961708069
Engineering,Mechanical Engineer,easy,What is meant by the term 'creep' in materials?,creep is the slow and permanent deformation of materials under continuous stress over time especially at high temperatures,"The cracking is the slow and permanent deformation of materials under continuous stress, especially at high temperatures.",0.5923418770896064
Engineering,Mechanical Engineer,easy,What is meant by the term 'creep' in materials?,creep is the slow and permanent deformation of materials under continuous stress over time especially at high temperatures,deformation slow permanent stress materials at and I honestly don't know.,0.3923201134469774
