Category,Specialty,Difficulty,Question,Answer
Technology,Artificial Intelligence,Medium,Which algorithm takes the data to the next dimension and then classify?,"Support Vector Machines (SVM), specifically with kernel tricks, take the data to a higher-dimensional space where the classes become more separable. This is useful when data is not linearly separable in its original space. SVM applies a kernel function, such as the Radial Basis Function (RBF), to map the data into higher dimensions, then finds the optimal hyperplane that separates the classes. This ability to map to higher dimensions allows SVM to classify non-linearly separable data effectively."
Technology,Artificial Intelligence,Medium,What are categorical variables and what do we do with categorical variables?,"Categorical variables are variables that represent discrete categories or groups rather than continuous values. Examples include gender, color, or brand name. These variables often need to be converted into a numerical format for machine learning algorithms that require numerical input. The most common techniques for handling categorical variables are One-Hot Encoding, where each category is represented by a binary column, and Label Encoding, where each category is assigned a unique integer value. The choice of method depends on the type of model being used and the nature of the data."
Technology,Artificial Intelligence,Medium,What does it mean to have low MAE and high MSE?,"MAE (Mean Absolute Error) is the average of the absolute errors between predicted and actual values, while MSE (Mean Squared Error) is the average of the squared differences. Having low MAE and high MSE indicates that most of the predictions are close to the actual values (low MAE), but there are a few significant outliers (high MSE) that disproportionately affect the overall error. This suggests that the model has a few large errors that are causing the high MSE, even though the majority of predictions are relatively accurate."
Technology,Artificial Intelligence,Medium,What are the disadvantages of linear regression?,"Linear regression assumes a linear relationship between the independent and dependent variables, which may not hold in all cases, leading to inaccurate predictions. It is sensitive to outliers, which can significantly distort the results. It also assumes homoscedasticity (constant variance of errors), which might not always be the case in real-world data. Additionally, linear regression cannot handle multicollinearity well (when independent variables are highly correlated), and it assumes the errors are normally distributed, which may not always hold true."
Technology,Artificial Intelligence,Medium,What is a recommendation engine? How does it work?,"A recommendation engine is a system that suggests products, services, or content to users based on their preferences or behavior. It works using one of two main methods: Collaborative filtering, which analyzes past user behavior to predict future preferences, and Content-based filtering, which suggests items similar to those the user has liked before. Hybrid models combine both methods for more accurate recommendations."
Technology,Artificial Intelligence,Medium,What is K-means? How can you select K for K-means?,"K-means is a clustering algorithm that partitions data into K distinct groups based on the similarity of data points. The value of K represents the number of clusters the algorithm will generate. To select K, methods like the Elbow Method can be used, where you plot the sum of squared distances from each point to its assigned cluster center (within-cluster sum of squares) for different values of K. The 'elbow' point on the plot suggests the optimal K value, where increasing K further does not result in significant gains in clustering performance."
Technology,Artificial Intelligence,Medium,Does the Radial Basis Kernel function exist in SVM?,"Yes, the Radial Basis Function (RBF) kernel is commonly used in Support Vector Machines (SVM) for classification tasks. The RBF kernel maps the data into a higher-dimensional space, making it possible to find a hyperplane that separates non-linearly separable data in the original feature space. It works by calculating the similarity between data points based on a Gaussian function, where the points closer to each other in feature space are mapped into higher dimensions where they are separable."
Technology,Artificial Intelligence,Medium,What is linear regression? Why is it called linear?,"Linear regression is a statistical model that assumes a linear relationship between the independent (predictor) variables and the dependent (response) variable. It is called 'linear' because the model estimates the best-fit line using the equation y = β₀ + β₁x₁ + β₂x₂ + ... + βₙxₙ, where the coefficients (β) are linearly related to the predictors, and the relationship between the variables is assumed to be linear."
Technology,Artificial Intelligence,Medium,Is pruning always a good method to construct a tree?,"Pruning is generally a good method to prevent overfitting in decision trees by removing nodes that provide little predictive power. However, pruning may not always be ideal, especially if the tree is already small or the data is very complex, where pruning could potentially remove important information. The decision to prune depends on the specific problem and the size of the dataset. In some cases, pruning can reduce model performance, so it's important to balance pruning with the need for model complexity."
Technology,Artificial Intelligence,Medium,What is the difference between bagging and boosting?,"Bagging (Bootstrap Aggregating) is an ensemble technique that trains multiple models independently on different subsets of the data and combines their predictions, usually through averaging (regression) or voting (classification). This reduces variance and improves model stability. Boosting, on the other hand, trains models sequentially, where each model tries to correct the errors made by the previous one. It focuses on high-error data points, thus reducing bias. Boosting tends to be more prone to overfitting than bagging, but often results in higher accuracy."
