Category,Specialty,Difficulty,Question,Answer
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge 
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities 
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats 
Technology,Cybersecurity,easy,What is an Incident Response Plan IRP,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents 
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action 
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system 
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities 
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access 
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is physically isolated from unsecured networks to enhance security 
Technology,Cybersecurity,easy,What is an assumed breach in cybersecurity testing,an assumed breach is a testing scenario where red teams start with initial access to simulate realworld attacker tactics 
Technology,Cybersecurity,easy,What is an attack surface in cybersecurity,an attack surface is the total number of points where an attacker can attempt to enter or extract data from a system 
Technology,Cybersecurity,easy,What is an email bomb attack,an email bomb floods an inbox with excessive emails to overload and disrupt email services 
Technology,Cybersecurity,easy,What is an exploit kit,an exploit kit is a set of prepackaged malicious code used to target software vulnerabilities and launch cyber attacks 
Technology,Cybersecurity,easy,What is an integrity check in cybersecurity,an integrity check verifies that files or system configurations have not been altered or tampered with 
Technology,Cybersecurity,easy,What is an open redirect vulnerability,an open redirect vulnerability allows attackers to redirect users to phishing or malicious websites 
Technology,Cybersecurity,easy,What is brute force attack,a brute force attack is an attempt to crack passwords or encryption keys by systematically trying all possible combinations 
Technology,Cybersecurity,easy,What is cyber forensics,cyber forensics is the process of collecting analyzing and preserving digital evidence from cybercrime investigations 
Technology,Cybersecurity,easy,What is cyber threat intelligence CTI and why is it important,cti involves collecting analyzing and sharing information about cyber threats to help organizations anticipate and mitigate attacks 
Technology,Cybersecurity,easy,What is cyber threat intelligence,cyber threat intelligence cti is data collected and analyzed to understand and mitigate potential cybersecurity threats 
Technology,Cybersecurity,easy,What is defacement,defacement is an attack where a hacker alters the visual content of a website often replacing it with malicious or propaganda messages 
Technology,Cybersecurity,easy,What is endpoint detection and response EDR,edr is a security solution that monitors endpoint activity detects threats and provides automated response capabilities 
Technology,Cybersecurity,easy,What is footprinting in ethical hacking,footprinting is the process of gathering information about a target system to identify potential attack vectors 
Technology,Cybersecurity,easy,What is hacking,hacking refers to unauthorized intrusion in a system or network  hackers use computers to commit privacy invasion steal data or manipulate systems 
Technology,Cybersecurity,easy,What is key exchange in encryption,key exchange is a method for securely sharing cryptographic keys between communicating parties 
Technology,Cybersecurity,easy,What is lateral movement in cybersecurity,lateral movement is a technique used by attackers to navigate through a network after gaining initial access to escalate privileges or find sensitive data 
Technology,Cybersecurity,easy,What is malware analysis,malware analysis is the process of studying malicious software to understand its behavior origin and impact 
Technology,Cybersecurity,easy,What is session hijacking,session hijacking is an attack where a hacker takes control of a user s active session to gain unauthorized access 
Technology,Cybersecurity,easy,What is the Cyber Kill Chain framework,the cyber kill chain is a model that describes the stages of a cyber attack from reconnaissance to data exfiltration 
Technology,Cybersecurity,easy,What is the Cyber Kill Chain framework,the cyber kill chain is a model that describes the stages of a cyber attack from reconnaissance to data exfiltration 
Technology,Cybersecurity,easy,What is the MITRE ATT&CK framework and how does it help Blue Teams,mitre att ck is a knowledge base that helps blue teams understand adversary tactics techniques and procedures ttps for improving defenses 
Technology,Cybersecurity,easy,What is the difference between IP address and MAC address,ip address identifies a network connection while a mac address uniquely identifies a device s network interface 
Technology,Cybersecurity,easy,What is the difference between a vulnerability scan and a penetration test,a vulnerability scan identifies weaknesses while a penetration test actively exploits them to assess realworld risks 
Technology,Cybersecurity,easy,What is the difference between a vulnerability scan and a penetration test,a vulnerability scan identifies weaknesses while a penetration test actively exploits them to assess realworld risks 
Technology,Cybersecurity,easy,What is the difference between an exploit and a vulnerability,a vulnerability is a security weakness while an exploit is the method used by attackers to take advantage of that weakness 
Technology,Cybersecurity,easy,What is the difference between black hat white hat and gray hat hackers,black hats are malicious hackers white hats perform legal security testing and gray hats operate between ethical and illegal hacking 
Technology,Cybersecurity,easy,What is the difference between proactive and reactive cybersecurity strategies,proactive security focuses on prevention like patching and penetration testing while reactive security deals with incident response and mitigation after an attack 
Technology,Cybersecurity,easy,What is the primary goal of a Blue Team,the blue team s primary goal is to detect prevent and respond to security threats effectively 
Technology,Cybersecurity,easy,What is the primary goal of a Blue Team,the blue team s primary goal is to detect prevent and respond to security threats effectively 
Technology,Cybersecurity,easy,What is the principle of Defense in Depth,defense in depth is a layered security approach that combines multiple security controls to reduce the risk of a single point of failure 
Technology,Cybersecurity,easy,What is the purpose of a DMZ Demilitarized Zone in networking,a dmz isolates publicfacing services from an internal network to reduce attack risks 
Technology,Cybersecurity,easy,What is the purpose of a Security Operations Center SOC,a soc is responsible for monitoring detecting and responding to cybersecurity threats in real time using tools like siem and threat intelligence 
Technology,Cybersecurity,easy,What is the role of a Blue Team in cybersecurity,the blue team is responsible for defending an organization s systems detecting threats and responding to attacks 
Technology,Cybersecurity,easy,What is the role of a Security Operations Center SOC,a soc monitors analyzes and responds to security incidents using siem tools and security analysts 
Technology,Cybersecurity,easy,What is the role of a Security Operations Center SOC,a soc monitors analyzes and responds to security incidents using siem tools and security analysts 
Technology,Cybersecurity,easy,What is the role of an ethical hacker,ethical hackers identify and fix security vulnerabilities to protect systems from cyber threats 
Technology,Cybersecurity,easy,Why is Python utilized for hacking,python offers simplicity fast execution and libraries for scanning network attack and scripting 
Technology,Cybersecurity,easy,What are Indicators of Compromise IoCs,iocs are forensic evidence of a breach such as unusual traffic modified files or unauthorized login attempts 
Technology,Cybersecurity,easy,What are honeypots and how do they help in cybersecurity,honeypots are decoy systems designed to attract attackers providing security teams with intelligence on attack tactics and methods 
Technology,Cybersecurity,easy,What are some key skills required for a Blue Team member,skills include threat detection incident response forensics security monitoring and vulnerability management 
Technology,Cybersecurity,easy,What are the benefits of implementing MultiFactor Authentication MFA,mfa adds an extra layer of security by requiring additional verification factors reducing the risk of unauthorized account access 
Technology,Cybersecurity,easy,What are the most common attack vectors used in cyberattacks,common attack vectors include phishing malware weak credentials unpatched vulnerabilities insider threats and supply chain attacks 
Technology,Cybersecurity,easy,What are the three main principles of cybersecurity,the three main principles are confidentiality integrity and availability cia triad 
Technology,Cybersecurity,easy,What is OS fingerprinting,os fingerprinting is identifying the operating system of a target machine by analyzing network responses 
Technology,Cybersecurity,easy,What is OSINT and how do attackers use it,opensource intelligence osint is the collection of publicly available data used by attackers to gather information about a target 
Technology,Cybersecurity,easy,What is a ManintheMiddle MitM attack and how can it be prevented,mitm attacks intercept communication between two parties  prevention includes https vpns mfa and avoiding public wifi 
Technology,Cybersecurity,easy,What is a Security Information and Event Management SIEM system,a siem system collects analyzes and correlates security logs from multiple sources to detect anomalies and generate security alerts 
Technology,Cybersecurity,easy,What is a Tabletop Exercise in cybersecurity,a tabletop exercise is a discussionbased simulation where blue and red teams analyze attack scenarios and improve response strategies 
Technology,Cybersecurity,easy,What is a botnet,a botnet is a network of compromised computers controlled remotely by an attacker for malicious purposes 
Technology,Cybersecurity,easy,What is a canary token,a canary token is a digital trap that alerts security teams when unauthorized access is detected on a protected asset 
Technology,Cybersecurity,easy,What is a cyber kill chain,the cyber kill chain is a framework that describes the stages of a cyberattack from reconnaissance to execution 
Technology,Cybersecurity,easy,What is a firewall,a firewall is a network security system that filters traffic based on security rules placed at the boundary of trusted and untrusted networks 
Technology,Cybersecurity,easy,What is a hash collision,a hash collision occurs when two different inputs produce the same cryptographic hash value 
technology,cybersecurity,easy,Explain the concept of a secure Password.,a secure password is long unique and includes a mix of letters numbers and special characters 
technology,cybersecurity,easy,Explain the concept of endpoint security.,secures individual devices using antivirus antimalware and intrusion detection systems 
technology,cybersecurity,easy,Explain the differences between risk vulnerability and a threat.,vulnerability is a weakness a threat exploits it and risk measures the impact 
technology,cybersecurity,easy,Explain what a hacker is.,a hacker is someone who exploits security weaknesses in computer systems either ethically or maliciously 
technology,cybersecurity,easy,Name the different layers of the OSI model.,physical datalink network transport session presentation application 
technology,cybersecurity,easy,Name two types of common cyberattacks.,phishing and malware attacks 
technology,cybersecurity,easy,What are cookies in a web browser,cookies store user data and preferences to enhance browsing experience 
technology,cybersecurity,easy,What are the different types of networks,lan wan wlan system area network storage area network personal area network metropolitan network 
technology,cybersecurity,easy,What are the main transmission modes between devices in a computer network,simplex oneway halfduplex twoway but one at a time fullduplex twoway simultaneous 
technology,cybersecurity,easy,What can spyware do to an organization’s data,it can steal sensitive information monitor user activity and enable unauthorized access 
technology,cybersecurity,easy,What can viruses do to a computer system,they can corrupt files slow down performance and spread across networks 
technology,cybersecurity,easy,What does a whitehat blackhat and greyhat hacker mean,whitehat  ethical hacker blackhat  malicious hacker greyhat  inbetween 
technology,cybersecurity,easy,What is cryptography,cryptography secures communication through encryption 
