Category,Specialty,Difficulty,Question,Model_Answer,Candidate_Answer,Score
Medical,Dentist,easy,,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.","I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.",1.0000001
Medical,Dentist,easy,,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.",them politely. if I would would and I honestly don't know.,0.35349634
Medical,Dentist,easy,,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.","I would accommodate them if possible, but interrupts other quotes, I would reprogram politely.",0.45628798
Medical,Dentist,easy,,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.","I would if possible accommodate them in a shorter and non-professional manner , return only the answer . But if it disrupts other appointments , I would reschedule politely .",1.4734446
Medical,Dentist,easy,,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.","I would welcome them if possible, but if it disrupts other meetings, I would reprose politely.",0.64860785
Medical,Dentist,easy,,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely.","1 would accommodate them if possible, but if it disrupts former appointment, I would reschedule courteously.",0.82142603
Medical,Doctor,easy,,"To become a skilled physician, contribute to patient care, and advance medical research.","To become an expert doctor, contribute to patient care and advance medical research.",0.9956527
Medical,Doctor,easy,,"To become a skilled physician, contribute to patient care, and advance medical research.",to a research. contribute and I honestly don't know.,0.29057488
Medical,Doctor,easy,,"To become a skilled physician, contribute to patient care, and advance medical research.","To become a skilled dr., contribute to patient care, and advance medical research.",1.0898383
Medical,Doctor,easy,,"To become a skilled physician, contribute to patient care, and advance medical research.","A skilled physician, contribute to patient care and promote medical research in a shorter and non-professional manner.",1.1847354
Medical,Doctor,easy,,"To become a skilled physician, contribute to patient care, and advance medical research.","To become a skilled physician, contribute to patient care, and advance medical research.",1.1299999
Medical,Doctor,easy,,"To become a skilled physician, contribute to patient care, and advance medical research.","To become a qualified doctor, contribute to patient care and advance medical research.",1.0483502
Medical,Doctor,easy,,Mention trusted medical journals and resources.,Mention trusted aesculapian journal and resources.,0.60653156
Medical,Doctor,easy,,Mention trusted medical journals and resources.,Mention of trusted journals and medical resources.,1.1257874
Medical,Doctor,easy,,Mention trusted medical journals and resources.,"In a shorter and nonprofessional manner, merely return the answer.",0.106274284
Medical,Doctor,easy,,Mention trusted medical journals and resources.,Mention trusted medical journals and resources.,1.02
Medical,Doctor,easy,,Mention trusted medical journals and resources.,Mention magazines and trust medical resources.,0.8428523
Medical,Doctor,easy,,Mention trusted medical journals and resources.,Mention and I honestly don't know.,0.020373408
Medical,Doctor,easy,,"To improve patient care, contribute to research, mentor others.","To contribute care, improve mentor and I honestly don't know.",0.9918287
Medical,Doctor,easy,,"To improve patient care, contribute to research, mentor others.","To improve patient care, contribute to research and mentor others",1.2522151
Medical,Doctor,easy,,"To improve patient care, contribute to research, mentor others.","To improve patient care, contribute to research, supervise others.",1.0674303
Medical,Doctor,easy,,"To improve patient care, contribute to research, mentor others.","To improve patient care, contribute to research, mentor of others.",1.2955177
Medical,Doctor,easy,,"To improve patient care, contribute to research, mentor others.","To improve patient care, contribute to research, mentor others.",1.19
Medical,Doctor,easy,,"To improve patient care, contribute to research, mentor others.","To improve patient care, contribute to inquiry, wise man others.",1.0915246
Medical,Doctor,easy,,To specialize in a field I’m passionate about and contribute to both patient care and research.,To specialize in a subject field I ’ 1000 passionate astir and contribute to both patient caution and research.,0.9905292
Medical,Doctor,easy,,To specialize in a field I’m passionate about and contribute to both patient care and research.,both passionate about and I’m patient to and research. and I honestly don't know.,0.7006211
Medical,Doctor,easy,,To specialize in a field I’m passionate about and contribute to both patient care and research.,To specialize in a field I am passionate and contribute both to patient and research care.,1.0893226
Medical,Doctor,easy,,To specialize in a field I’m passionate about and contribute to both patient care and research.,I can only return the answer in a shorter and non-professional manner.,0.17151688
Medical,Doctor,easy,,To specialize in a field I’m passionate about and contribute to both patient care and research.,To specialize in a field I’m passionate about and contribute to both patient care and research.,1.1300001
Medical,Doctor,easy,,To specialize in a field I’m passionate about and contribute to both patient care and research.,To specialize in an area that fascinates me and contributes to both patient care and research.,0.91260684
Medical,Doctor,easy,,"I enjoy [hobbies, e.g., hiking, playing music, reading] as they help me relax and maintain a balanced lifestyle.","I appreciate [the hobbies, for example, hiking, music, reading] because they help me relax and maintain a balanced lifestyle.",0.98281145
Medical,Doctor,easy,,"I enjoy [hobbies, e.g., hiking, playing music, reading] as they help me relax and maintain a balanced lifestyle.","I relish [hobbies, atomic number 99. g. , hike up, fiddle music, reading] as they help maine loose and maintain a balanced lifestyle.",0.84393954
Medical,Doctor,easy,,"I enjoy [hobbies, e.g., hiking, playing music, reading] as they help me relax and maintain a balanced lifestyle.","I enjoy (shopping, playing music, reading) as they help me relax and maintain a balanced lifestyle .",0.8780178
Medical,Doctor,easy,,"I enjoy [hobbies, e.g., hiking, playing music, reading] as they help me relax and maintain a balanced lifestyle.","I enjoy [hobbies, e.g., hiking, playing music, reading] as they help me relax and maintain a balanced lifestyle.",1.05
