Category,Specialty,Difficulty,Question,Model_Answer,Candidate_Answer,Score
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,Script Kiddies are unqualified computer pirates that use prefabricated scripts and tools to attack networks without deep technical knowledge,0.9318616
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,deep kiddies unskilled premade and knowledge are and I honestly don't know.,0.32883444
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,SCRIPT KIDDIES are unskilled hackers using scripts and prefabricated tools to attack networks without in -depth technical knowledge,1.0144073
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,SomaKiddies are unskilled hackers using pre-made scripts and tools to attack networks without deep technical knowledge .,0.6733282
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,0.99
Technology,Cybersecurity,easy,Define the term Script kiddies,script kiddies are unskilled hackers using premade scripts and tools to attack networks without deep technical knowledge,script kiddies be unskilled hack using premade scripts and tool to attack networks without deep technical noesis,0.90955865
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,A zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities .,0.9952051
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,a zombie spirit computer is a compromised gimmick controlled remotely in a botnet to comport malicious activities,0.9067868
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,botnet is controlled to a a remotely malicious activities and I honestly don't know.,0.52591413
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,A zombie computer is a remote controlled compromise device in a botnet to carry out malware,0.94803166
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,A zombie computer is a compromised device remotely controlled in a botnet to perform malicious activities,0.94690895
Technology,Cybersecurity,easy,What is a zombie computer,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,a zombie computer is a compromised device controlled remotely in a botnet to conduct malicious activities,0.95
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,0.9999998
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,suspicious monitors system and detection traffic potential and I honestly don't know.,0.43206972
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,an intrusion detection system ids varan meshwork traffic for suspicious activeness and alerts administrators to likely threats,0.80991
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,An IDS intruder detection system monitors network traffic for suspicious activities and alerts administrators of possible threats,0.9219297
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,An IDS intrusion detection system monitors network traffic for suspicious activity and alerts potential threat administrators,0.89794123
Technology,Cybersecurity,easy,What is an IDS and how does it work,an intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats,The intrusion detection system ids monitors network traffic for suspicious activity and alerts administrators to potential threats .,1.0424948
Technology,Cybersecurity,easy,What is an Incident Response Plan IRP,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents,an irp and structured to for a is recovering and I honestly don't know.,0.44869447
Technology,Cybersecurity,easy,What is an Incident Response Plan IRP,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents,An IRP is a structured approach to detect the response and recovery of cybersecurity incidents,0.99548805
Technology,Cybersecurity,easy,What is an Incident Response Plan IRP,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents,1.0000001
Technology,Cybersecurity,easy,What is an Incident Response Plan IRP,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents,An irp is a structured approach for detecting responses to cybersecurity incidents and repairing them .,1.0190523
Technology,Cybersecurity,easy,What is an Incident Response Plan IRP,an irp is a structured approach for detecting responding to and recovering from cybersecurity incidents,an irp is a structured approach for detecting responding to and recuperate from cybersecurity incidents,0.98287255
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,"In a shorter and non-professional manner, an ips blocks threats in real time, while an ips detects only and alerts about potential threats without taking immediate action .",1.1323133
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,1.0400001
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,"An IPS actively blocks threats in real time, while an IDS only detects and alerts about possible threats without taking direct measures",1.0113196
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,ips blocks without threats ids only potential taking an threats direct and I honestly don't know.,0.5779811
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,an ip actively blocks threats in real clock time while an ids only detects and qui vive astir potential threats without taking verbatim action at law,1.1219937
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS and how does it differ from an Intrusion Detection System IDS,an ips actively blocks threats in real time while an ids only detects and alerts about potential threats without taking direct action,An IPS actively blocks threats in real time while an IDS does not detect and alerts on potential threats without taking direct measures,1.0768801
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,1.01
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,An IPS is a safety tool that detects and blocks threats before they can exploit vulnerabilities in a system,0.98229885
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,an ips is a security puppet that detects and blocks threats before they canful overwork vulnerabilities in a system,0.90271527
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,An IPS is a safety tool that detects and blocks threats before vulnerabilities can exploit in a system,0.9206013
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,ips detects that and blocks before they a system and I honestly don't know.,0.4851732
Technology,Cybersecurity,easy,What is an Intrusion Prevention System IPS,an ips is a security tool that detects and blocks threats before they can exploit vulnerabilities in a system,"In a shorter and non-professional manner, an ips is a security tool that detects and blocks threats before they can exploit weaknesses in a system .",1.3173219
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,"In a shorter and non-professional manner , a hostile emulation plan replicates realworld attack techniques to assess the defenses and response capabilities of an organization .",1.2652149
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,emulation adversary s attack to assess and an defenses an capabilities and I honestly don't know.,0.56670934
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,An adversary emulation plan replicates real -world attack techniques to evaluate the defenses and response capabilities of an organization,1.0779774
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,An opponent emulation plan reproduces real world attack techniques to assess the organization's defenses and response capacities,0.84988093
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,an adversary emulation design replicates realworld attack techniques to value an organization s defenses and answer capabilities,0.9023902
Technology,Cybersecurity,easy,What is an adversary emulation plan,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,an adversary emulation plan replicates realworld attack techniques to assess an organization s defenses and response capabilities,1.0
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,an airgapped is from unauthorized any network including the system and I honestly don't know.,0.7062201
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,"An airpago system of any external network is isolated, including Internet, to avoid unauthorized access",0.8155724
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,"An air system is isolated from any external network, including Internet, to avoid unauthorized access",0.8299514
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,0.9799998
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,"To avoid unauthorized access , an airgapped system is isolated from any external network including the Internet .",1.0557299
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is isolated from any external network including the internet to prevent unauthorized access,an airgapped system comprise isolate from any outside network including the internet to prevent wildcat access,0.7983402
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is physically isolated from unsecured networks to enhance security,The airgapped system is physically isolated from unsecured networks to increase the security of the system.,1.2838087
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is physically isolated from unsecured networks to enhance security,An air system is physically isolated from unsuccessful networks to improve safety,0.7499275
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is physically isolated from unsecured networks to enhance security,an airgapped system is physically isolated from unsecured networks to enhance security,1.04
Technology,Cybersecurity,easy,What is an airgapped system,an airgapped system is physically isolated from unsecured networks to enhance security,an airgapped system is physically sequestrate from unsecured mesh to enhance security,0.8352182
