Category,Specialty,Difficulty,Question,Answer
Medical,Dentist,easy,A patient arrives late for her appointment. Tell me how you would handle that situation.,"I would accommodate them if possible, but if it disrupts other appointments, I would reschedule politely."
Medical,Doctor,easy,What are your career goals?,"To become a skilled physician, contribute to patient care, and advance medical research."
Medical,Doctor,easy,What are your favorite medical sources?,Mention trusted medical journals and resources.
Medical,Doctor,easy,What are your long-term career goals?,"To improve patient care, contribute to research, mentor others."
Medical,Doctor,easy,What are your long-term career goals?,To specialize in a field I’m passionate about and contribute to both patient care and research.
Medical,Doctor,easy,What do you like to do for fun?,"I enjoy [hobbies, e.g., hiking, playing music, reading] as they help me relax and maintain a balanced lifestyle."
Medical,Doctor,easy,"What does COVID-19 stand for, how to prevent it, and where did it start?","COVID-19 stands for Coronavirus Disease 2019. It is caused by the SARS-CoV-2 virus. Prevention includes wearing masks, maintaining social distancing, frequent handwashing, and vaccination. The virus was first identified in Wuhan, China, in December 2019."
Medical,Doctor,easy,What does SABA stand for?,SABA stands for Short-Acting Beta Agonist. It is used as a quick-relief medication in conditions like asthma to relieve bronchospasm.
Medical,Doctor,easy,What factors make a training program excellent?,"Structured curriculum, strong mentorship, clinical exposure."
Medical,Doctor,easy,What fellowship will you choose?,I will explore my options during residency.
Medical,Doctor,easy,What goals would you like to achieve by the end of residency?,"I aim to become a competent physician, develop strong procedural skills, and build meaningful mentor-mentee relationships."
Medical,Doctor,easy,What is the most important lesson you've learned from shadowing a doctor?,The importance of patient-centered care and effective communication.
Medical,Doctor,easy,What are you hoping to get from us as your residency program if you are accepted?,"I hope to gain excellent clinical training, strong mentorship, and opportunities to contribute through research and teaching."
Medical,Doctor,easy,What is your class rank?,"While my medical school does not formally rank students, I have consistently performed in the top [percentage] of my class, excelling in [specific subjects or clerkships]."
Medical,Nurse,easy,How do you approach patient education?,"I use simple language, visual aids, and ensure they understand."
Medical,Nurse,easy,How do you build rapport with patients and their families?,"I take the time to introduce myself, actively listen, and show genuine empathy. I involve them in the care process, answer their questions honestly, and make sure they feel valued and respected."
Medical,Nurse,easy,How do you comfort a patient who is fearful of a procedure?,"I provide clear explanations, answer questions, and offer emotional support."
Medical,Nurse,easy,How do you keep patients comfortable?,"By adjusting their environment, addressing their needs, and offering reassurance."
Medical,Nurse,easy,How do you maintain professional boundaries with patients?,I provide compassionate care while keeping interactions professional.
Medical,Nurse,easy,How do you prepare for a shift change report?,"I review patient charts, communicate clearly, and provide essential updates."
Medical,Nurse,easy,How do you prepare for a shift?,"I review patient reports, organize my tasks, and plan accordingly."
Medical,Nurse,easy,How do you respond to a patient’s complaint?,"I listen, address their concerns, and escalate if necessary."
Medical,Nurse,easy,How do you stay organized during a busy shift?,"I use a checklist, prioritize tasks, and stay flexible."
Medical,Nurse,easy,How do you support a newly hired nurse?,"I offer guidance, answer questions, and encourage confidence."
Medical,Nurse,easy,How do you support a patient who is grieving?,"I listen, offer empathy, and provide resources for emotional support."
Medical,Doctor,easy,What kind of learner are you?,"I am a [visual/auditory/kinesthetic] learner. I find that [specific method] helps me retain information best, which I applied during medical school by [study strategy]."
Medical,Nurse,easy,What do you do if a coworker asks for help during your busy shift?,I assist if possible or communicate when I’ll be available.
Medical,Doctor,easy,What are the three most important things you look for in a future job?,"Good work-life balance, opportunity for career growth, and a supportive team."
Medical,Doctor,easy,Why this center?,"Good patient care, advanced systems, diverse case exposure."
Medical,Doctor,easy,Did you take a course to prepare for your USMLEs? (IMG),"Yes, I took [course name] to supplement my independent study. The structured approach helped me solidify my knowledge and improve my test-taking strategies."
Medical,Doctor,easy,Do you envision yourself working rurally or in an urban setting?,I am open to both but am particularly interested in working in an underserved urban area.
Medical,Doctor,easy,Do you want to be involved in teaching during residency? And why?,"Yes, to share knowledge and help train the next generation of doctors."
